ORDER CODE,RESTAURANT CODE,RESTAURANT NAME,FOOD COST,CONTAINER PRICE,RESTAURANT DELIVERY FEE,RESTAURANT SERVICE FEE,RIDER PAYS,PAYMENT TYPE,ITEMS,ORDER ITEMS,EXPECTED DELIVERY DATE,EXPECTED DELIVERY TIME,EXPEDITION TYPE,STATUS,CANCELLATION REASON
d0hx-qb2q,d0hx,WarmOven ( Whitefield ),102,0,0,0,0,Cards / Netbanking,1,1 DBC in a Jar; ,14/09/18,1:45 PM,delivery,Delivered,
d0hx-y29l,d0hx,WarmOven ( Whitefield ),102,0,0,0,0,Cards / Netbanking,1,1 DBC in a Jar; ,14/09/18,3:33 PM,delivery,Delivered,
d0hx-ql7h,d0hx,WarmOven ( Whitefield ),102,0,0,0,0,PhonePe / BHIM UPIÂ (50% cashback | Max Rs.50 | Valid 3 times/user till 30th September),1,1 DBC in a Jar; ,14/09/18,3:33 PM,delivery,Delivered,
d0hx-ml2m,d0hx,WarmOven ( Whitefield ),102,0,0,0,0,PAYTM (Apply code ZERO to get free delivery),1,1 DBC in a Jar; ,14/09/18,3:38 PM,delivery,Delivered,
d0hx-kiqc,d0hx,WarmOven ( Whitefield ),102,0,0,0,0,PhonePe / BHIM UPIÂ (50% cashback | Max Rs.50 | Valid 3 times/user till 30th September),1,1 Red Velvet in a Jar; ,14/09/18,3:32 PM,delivery,Delivered,
d0hx-4e6u,d0hx,WarmOven ( Whitefield ),102,0,0,0,0,Cards / Netbanking,1,1 Red Velvet in a Jar; ,14/09/18,3:45 PM,delivery,Delivered,
d0hx-bbpk,d0hx,WarmOven ( Whitefield ),78,0,0,0,0,PAYTM (Apply code ZERO to get free delivery),1,1 Chocolate Truffle Pastry; ,14/09/18,4:02 PM,delivery,Delivered,
d0hx-a2g9,d0hx,WarmOven ( Whitefield ),102,0,0,0,0,PAYTM (Apply code ZERO to get free delivery),1,1 Red Velvet in a Jar; ,14/09/18,4:58 PM,delivery,Delivered,
d0hx-85m3,d0hx,WarmOven ( Whitefield ),102,0,0,0,0,PAYTM (Apply code ZERO to get free delivery),1,1 Red Velvet in a Jar; ,14/09/18,5:54 PM,delivery,Delivered,
d0hx-0tfp,d0hx,WarmOven ( Whitefield ),102,0,0,0,0,Cards / Netbanking,1,1 DBC in a Jar; ,14/09/18,5:50 PM,delivery,Closed (customer cancelled),Changed mind
d0hx-zjih,d0hx,WarmOven ( Whitefield ),102,0,0,0,0,Cards / Netbanking,1,1 DBC in a Jar; ,14/09/18,6:08 PM,delivery,Delivered,
d0hx-84tq,d0hx,WarmOven ( Whitefield ),102,0,0,0,0,Cards / Netbanking,1,1 Red Velvet in a Jar; ,14/09/18,5:54 PM,delivery,Delivered,
d0hx-yzds,d0hx,WarmOven ( Whitefield ),102,0,0,0,0,PAYTM (Apply code ZERO to get free delivery),1,1 Red Velvet in a Jar; ,14/09/18,6:24 PM,delivery,Delivered,
d0hx-0jh2,d0hx,WarmOven ( Whitefield ),102,0,0,0,0,Cards / Netbanking,1,1 DBC in a Jar; ,14/09/18,6:39 PM,delivery,Delivered,
d0hx-8vwh,d0hx,WarmOven ( Whitefield ),102,0,0,0,0,Cards / Netbanking,1,1 Red Velvet in a Jar; ,14/09/18,7:16 PM,delivery,Delivered,
d0hx-8ux5,d0hx,WarmOven ( Whitefield ),102,0,0,0,0,PAYTM (Apply code ZERO to get free delivery),1,1 DBC in a Jar; ,14/09/18,7:17 PM,delivery,Delivered,
d0hx-ggym,d0hx,WarmOven ( Whitefield ),102,0,0,0,0,PhonePe / BHIM UPIÂ (50% cashback | Max Rs.50 | Valid 3 times/user till 30th September),1,1 Red Velvet in a Jar; ,14/09/18,7:30 PM,delivery,Delivered,
d0hx-tu6w,d0hx,WarmOven ( Whitefield ),102,0,0,0,0,PAYTM (Apply code ZERO to get free delivery),1,1 DBC in a Jar; ,14/09/18,7:17 PM,delivery,Delivered,
d0hx-oafk,d0hx,WarmOven ( Whitefield ),102,0,0,0,0,Cards / Netbanking,1,1 Red Velvet in a Jar; ,14/09/18,7:29 PM,delivery,Delivered,
d0hx-zzra,d0hx,WarmOven ( Whitefield ),102,0,0,0,0,Cards / Netbanking,1,1 DBC in a Jar; ,14/09/18,7:42 PM,delivery,Delivered,
d0hx-j1ek,d0hx,WarmOven ( Whitefield ),102,0,0,0,0,Cards / Netbanking,1,1 Red Velvet in a Jar; ,14/09/18,7:49 PM,delivery,Delivered,
d0hx-fohj,d0hx,WarmOven ( Whitefield ),102,0,0,0,0,PAYTM (Apply code ZERO to get free delivery),1,1 Red Velvet in a Jar; ,14/09/18,7:49 PM,delivery,Delivered,
d0hx-p5h7,d0hx,WarmOven ( Whitefield ),102,0,0,0,0,PhonePe / BHIM UPIÂ (50% cashback | Max Rs.50 | Valid 3 times/user till 30th September),1,1 Red Velvet in a Jar; ,14/09/18,8:18 PM,delivery,Delivered,
d0hx-m268,d0hx,WarmOven ( Whitefield ),102,0,0,0,0,PAYTM (Apply code ZERO to get free delivery),1,1 DBC in a Jar; ,14/09/18,8:47 PM,delivery,Delivered,
d0hx-k6zb,d0hx,WarmOven ( Whitefield ),102,0,0,0,0,Cards / Netbanking,1,1 DBC in a Jar; ,14/09/18,8:58 PM,delivery,Delivered,
d0hx-mq5f,d0hx,WarmOven ( Whitefield ),78,0,0,0,0,Cards / Netbanking,1,1 Chocolate Truffle Pastry; ,14/09/18,8:44 PM,delivery,Delivered,
d0hx-hciu,d0hx,WarmOven ( Whitefield ),102,0,0,0,0,PAYTM (Apply code ZERO to get free delivery),1,1 DBC in a Jar; ,14/09/18,8:53 PM,delivery,Delivered,
d0hx-0qhl,d0hx,WarmOven ( Whitefield ),78,0,0,0,0,PAYTM (Apply code ZERO to get free delivery),1,1 Chocolate Truffle Pastry; ,14/09/18,8:59 PM,delivery,Delivered,
d0hx-gtty,d0hx,WarmOven ( Whitefield ),102,0,0,0,0,Cards / Netbanking,1,1 DBC in a Jar; ,14/09/18,9:06 PM,delivery,Delivered,
d0hx-ydzp,d0hx,WarmOven ( Whitefield ),102,0,0,0,0,PAYTM (Apply code ZERO to get free delivery),1,1 DBC in a Jar; ,14/09/18,9:33 PM,delivery,Delivered,
d0hx-gn2k,d0hx,WarmOven ( Whitefield ),102,0,0,0,0,PhonePe / BHIM UPIÂ (50% cashback | Max Rs.50 | Valid 3 times/user till 30th September),1,1 Red Velvet in a Jar; ,14/09/18,9:29 PM,delivery,Delivered,
d0hx-1g55,d0hx,WarmOven ( Whitefield ),102,0,0,0,0,Cards / Netbanking,1,1 DBC in a Jar; ,14/09/18,9:29 PM,delivery,Delivered,
d0hx-olvl,d0hx,WarmOven ( Whitefield ),102,0,0,0,0,PAYTM (Apply code ZERO to get free delivery),1,1 Red Velvet in a Jar; ,14/09/18,9:36 PM,delivery,Delivered,
d0hx-0q4n,d0hx,WarmOven ( Whitefield ),102,0,0,0,0,Cards / Netbanking,1,1 Red Velvet in a Jar; ,14/09/18,9:47 PM,delivery,Delivered,
d0hx-339w,d0hx,WarmOven ( Whitefield ),78,0,0,0,0,PAYTM (Apply code ZERO to get free delivery),1,1 Chocolate Truffle Pastry; ,14/09/18,10:11 PM,delivery,Delivered,
d0hx-nuuq,d0hx,WarmOven ( Whitefield ),102,0,0,0,0,PAYTM (Apply code ZERO to get free delivery),1,1 Red Velvet in a Jar; ,14/09/18,9:53 PM,delivery,Delivered,
d0hx-2rkq,d0hx,WarmOven ( Whitefield ),102,0,0,0,0,PAYTM (Apply code ZERO to get free delivery),1,1 Red Velvet in a Jar; ,14/09/18,10:03 PM,delivery,Delivered,
d0hx-34iz,d0hx,WarmOven ( Whitefield ),102,0,0,0,0,PAYTM (Apply code ZERO to get free delivery),1,1 DBC in a Jar; ,14/09/18,10:32 PM,delivery,Delivered,
d0hx-rijs,d0hx,WarmOven ( Whitefield ),102,0,0,0,0,PhonePe / BHIM UPIÂ (50% cashback | Max Rs.50 | Valid 3 times/user till 30th September),1,1 Red Velvet in a Jar; ,14/09/18,10:37 PM,delivery,Closed (customer cancelled),Changed mind
d0hx-5cfe,d0hx,WarmOven ( Whitefield ),102,0,0,0,0,Cards / Netbanking,1,1 DBC in a Jar; ,14/09/18,10:34 PM,delivery,Delivered,
d0hx-4rt7,d0hx,WarmOven ( Whitefield ),102,0,0,0,0,Cards / Netbanking,1,1 Red Velvet in a Jar; ,14/09/18,11:04 PM,delivery,Delivered,
d3hr-5huf,d3hr,WarmOven (HSR Layout),102,0,0,0,0,Cards / Netbanking,1,1 DBC in a Jar; ,14/09/18,2:22 PM,delivery,Delivered,
d3hr-5w9f,d3hr,WarmOven (HSR Layout),102,0,0,0,0,PhonePe / BHIM UPIÂ (50% cashback | Max Rs.50 | Valid 3 times/user till 30th September),1,1 Red Velvet in a Jar; ,14/09/18,9:13 PM,delivery,Delivered,
d0ak-uo3b,d0ak,WarmOven ( BTM 2nd Stage ),102,0,0,0,0,Cards / Netbanking,1,1 DBC in a Jar; ,14/09/18,8:26 AM,delivery,Delivered,
d0ak-stxn,d0ak,WarmOven ( BTM 2nd Stage ),102,0,0,0,0,Cards / Netbanking,1,1 DBC in a Jar; ,14/09/18,12:18 AM,delivery,Delivered,
d0ak-0mkk,d0ak,WarmOven ( BTM 2nd Stage ),102,0,0,0,0,Cards / Netbanking,1,1 DBC in a Jar; ,14/09/18,1:48 PM,delivery,Delivered,
d0ak-jrf7,d0ak,WarmOven ( BTM 2nd Stage ),102,0,0,0,0,Cards / Netbanking,1,1 Red Velvet in a Jar; ,14/09/18,2:10 PM,delivery,Delivered,
d0ak-zsmb,d0ak,WarmOven ( BTM 2nd Stage ),102,0,0,0,0,Cards / Netbanking,1,1 Red Velvet in a Jar; ,14/09/18,2:23 PM,delivery,Delivered,
d0ak-h8cg,d0ak,WarmOven ( BTM 2nd Stage ),70,0,0,0,0,Cards / Netbanking,1,1 Red Velvet Cupcake; ,14/09/18,2:31 PM,delivery,Delivered,
d0ak-x3u7,d0ak,WarmOven ( BTM 2nd Stage ),70,0,0,0,0,PAYTM (Apply code ZERO to get free delivery),1,1 Red Velvet Cupcake; ,14/09/18,3:07 PM,delivery,Delivered,
d0ak-b4am,d0ak,WarmOven ( BTM 2nd Stage ),102,0,0,0,0,PAYTM (Apply code ZERO to get free delivery),1,1 DBC in a Jar; ,14/09/18,2:27 PM,delivery,Delivered,
d0ak-rd5y,d0ak,WarmOven ( BTM 2nd Stage ),102,0,0,0,0,PhonePe / BHIM UPIÂ (50% cashback | Max Rs.50 | Valid 3 times/user till 30th September),1,1 DBC in a Jar; ,14/09/18,2:31 PM,delivery,Delivered,
d0ak-j3d9,d0ak,WarmOven ( BTM 2nd Stage ),102,0,0,0,0,PAYTM (Apply code ZERO to get free delivery),1,1 DBC in a Jar; ,14/09/18,2:58 PM,delivery,Delivered,
d0ak-gudx,d0ak,WarmOven ( BTM 2nd Stage ),102,0,0,0,0,Cards / Netbanking,1,1 DBC in a Jar; ,14/09/18,2:42 PM,delivery,Delivered,
d0ak-iwc6,d0ak,WarmOven ( BTM 2nd Stage ),102,0,0,0,0,PhonePe / BHIM UPIÂ (50% cashback | Max Rs.50 | Valid 3 times/user till 30th September),1,1 DBC in a Jar; ,14/09/18,2:55 PM,delivery,Delivered,
